"id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime"
"1","Eads St & 15th St S","31000","1518380848165","38.858971","-77.05323","true","false","0","false","true","3","12","1518341220705"
"2","18th & Eads St.","31001","1518380877176","38.85725","-77.05332","true","false","0","false","true","6","5","1518353156745"
"3","20th & Crystal Dr","31002","1518380896349","38.856425","-77.049232","true","false","0","false","true","12","4","1518374498573"
"4","15th & Crystal Dr","31003","1518380879842","38.86017","-77.049593","true","false","0","false","true","4","7","1518377201730"
"5","Aurora Hills Community Ctr/18th & Hayes St","31004","1518380879981","38.857866","-77.05949","true","false","0","false","true","7","4","1518285870166"
"6","Pentagon City Metro / 12th & S Hayes St","31005","1518380805743","38.862303","-77.059936","true","false","0","false","true","13","5","1518376132370"
"7","S Joyce & Army Navy Dr","31006","1518380806182","38.8637","-77.0633","true","false","0","false","true","5","10","1518341183684"
"8","Crystal City Metro / 18th & Bell St","31007","1518380818077","38.85740496261504","-77.05113172531128","true","false","0","false","true","7","12","1518365079059"
"9","12th & Army Navy Dr","31008","1518380884327","38.8629","-77.0528","true","false","0","false","true","4","7","1518357825677"
"10","27th & Crystal Dr","31009","1518380853068","38.848441","-77.051516","true","false","0","false","true","12","6","1518380605871"
"11","S Glebe & Potomac Ave","31010","1518380836669","38.8426","-77.0502","true","false","0","false","true","5","6","1518378204321"
"12","23rd & Crystal Dr","31011","1518380835398","38.8533","-77.0498","true","false","0","false","true","10","7","1518372398399"
"13","26th & S Clark St","31012","1518380921834","38.850688","-77.05152","true","false","0","false","true","4","7","1518257109050"
"14","19th St & Pennsylvania Ave NW","31100","1518380910694","38.9003","-77.0429","true","false","0","false","true","5","10","1518377309834"
"15","14th & V St NW","31101","1518380827683","38.9176","-77.0321","true","false","0","false","true","23","3","1518380112449"
"16","11th & Kenyon St NW","31102","1518380882253","38.929464","-77.027822","true","false","0","false","true","10","17","1518378812897"
"17","16th & Harvard St NW","31103","1518380877496","38.926088","-77.036536","true","false","0","false","true","11","22","1518380161869"
